disease,final_annotation,gene,cells,expressing_cells,expressing_fraction,mean_log_expression,mean_log_expression_among_expressing
PVR,Muller_Glial,TIMP1,2946,1740,0.5906313645621182,0.9570138810152705,1.6203235019948201
PVR,Muller_Glial,SERPINE1,2946,996,0.3380855397148676,0.522886183364913,1.5466091327239295
PVR,Myeloid,POSTN,8069,85,0.010534143016482835,0.00897895113695845,0.8523665496955027
PVR,Myeloid,FN1,8069,4339,0.5377370182178709,1.7187667563597977,3.1962961412922812
PVR,Myeloid,THBS2,8069,21,0.002602552980542818,0.0029949911389854427,1.15078969049874
PVR,Myeloid,CTHRC1,8069,80,0.009914487544925021,0.007624296023310879,0.7690055576511937
PVR,Myeloid,AEBP1,8069,52,0.006444416904201264,0.005168931861956995,0.8020790614255962
PVR,Myeloid,IGFBP7,8069,772,0.09567480480852646,0.0814934453618909,0.8517754023641162
PVR,Myeloid,SULF1,8069,382,0.04734167802701698,0.04125701672438719,0.8714734763064927
PVR,Myeloid,CFH,8069,162,0.02007683727847317,0.015276035357408119,0.7608785759192971
PVR,Myeloid,TIMP1,8069,4350,0.539100260255298,1.1030586288029283,2.046110362255363
PVR,Myeloid,SERPINE1,8069,1104,0.1368199281199653,0.15312196338339268,1.1191495675186551
PVR,Photoreceptor,POSTN,6246,69,0.011047070124879923,0.013809939044730761,1.2500996996143237
PVR,Photoreceptor,FN1,6246,862,0.13800832532821006,0.18041997087899836,1.3073122251858744
PVR,Photoreceptor,THBS2,6246,4,0.0006404098623118795,0.0006073967104574847,0.9484499633793624
PVR,Photoreceptor,CTHRC1,6246,40,0.006404098623118796,0.0075627367132026155,1.1809213377665881
PVR,Photoreceptor,AEBP1,6246,35,0.005603586295228946,0.006648646286802735,1.186498420210568
PVR,Photoreceptor,IGFBP7,6246,659,0.10550752481588216,0.12355615544680554,1.1710648663440781
PVR,Photoreceptor,SULF1,6246,284,0.04546910022414345,0.05472244888038032,1.2035085060100543
PVR,Photoreceptor,CFH,6246,115,0.01841178354146654,0.02177873106274484,1.182869167112211
PVR,Photoreceptor,TIMP1,6246,837,0.1340057636887608,0.16142541831921015,1.2046154872422776
PVR,Photoreceptor,SERPINE1,6246,508,0.08133205251360871,0.10406707725547244,1.2795333947592145
PVR,RPE_like,POSTN,1943,83,0.04271744724652599,0.03754728196477004,0.8789682994885324
PVR,RPE_like,FN1,1943,852,0.43849716932578486,0.48708172908936104,1.110797886878672
PVR,RPE_like,THBS2,1943,4,0.002058672156459084,0.0011991995714024056,0.5825111918087186
PVR,RPE_like,CTHRC1,1943,573,0.29490478641276374,0.26985160557685284,0.9150465438670594
PVR,RPE_like,AEBP1,1943,226,0.11631497683993824,0.0870713716990621,0.7485826336782196
PVR,RPE_like,IGFBP7,1943,1826,0.9397838394235718,2.9027710655588668,3.088764611380547
PVR,RPE_like,SULF1,1943,1432,0.737004632012352,1.3762321384141285,1.8673317352923544
PVR,RPE_like,CFH,1943,1373,0.7066392177045805,1.006413701321668,1.4242256530721056
PVR,RPE_like,TIMP1,1943,1449,0.7457539886773031,1.0493332977750067,1.4070770169612412
PVR,RPE_like,SERPINE1,1943,464,0.23880597014925373,0.22327901217138763,0.9349808634676857
PVR,T_NK,POSTN,7803,51,0.006535947712418301,0.008559414351595367,1.309590395794091
PVR,T_NK,FN1,7803,825,0.1057285659361784,0.14686240080341473,1.3890512890533881
PVR,T_NK,THBS2,7803,1,0.00012815583749839805,0.0001224291382245611,0.9553145655662502
PVR,T_NK,CTHRC1,7803,59,0.007561194412405485,0.009502605172328277,1.2567597993165687
PVR,T_NK,AEBP1,7803,48,0.006151480199923107,0.007723286031945886,1.2555166855682034
PVR,T_NK,IGFBP7,7803,594,0.07612456747404844,0.10212801388812226,1.34159072789397
PVR,T_NK,SULF1,7803,304,0.03895937459951301,0.050783303468697895,1.303493805810032
PVR,T_NK,CFH,7803,223,0.028578751762142765,0.03872798842572129,1.3551322586811805
PVR,T_NK,TIMP1,7803,1197,0.15340253748558247,0.20937587450354042,1.3648788210118012
PVR,T_NK,SERPINE1,7803,619,0.0793284634115084,0.10699377745708614,1.3487438537926384
